Words,AROU,VAL,DOM,CNC,IMAG
tie (neck),3.853,5.265,5.147,6.727,6.606
tie (stalemate),3.807,4.829,5.294,3.943,4.152
tiger,6.235,5.667,4.853,6.706,6.727
tight,4.788,4.364,3.667,4.235,4.771
till,3.265,5,4.912,5.059,4.647
tilt,3.771,5,5,4.206,4.686
time,3.903,5.625,3.576,2.485,2.968
timid,3.936,3.094,2.833,2.968,3.516
tinsel,5.032,6,5.5,6.219,6.233
tiny,3.969,4.636,3.936,3.424,4.438
tire,2.939,3.824,4.029,4.667,4.824
tired,3.161,3.406,3.613,3.323,4.063
titan,5.906,5.727,6.3,4.355,4.364
titanic,4.242,3.794,4.882,5.758,5.941
titanic (ship),4.969,3,4.677,6.438,6.344
titanic (size),5.265,5.294,5.382,4.242,4.794
toad,3.546,4.394,4.941,6.581,6.706
toast,4.656,6.294,5.794,6.344,6.758
toast (bread),3.909,6.118,5.471,6.706,6.647
toast (speech),4.743,6.559,5.647,4.546,4.771
toaster,3.688,5.618,5.294,6.853,6.853
tobacco,3.441,3.118,5.294,6.485,6.333
toddler,4.182,6.324,4,6.229,6.429
toe,3.286,4.714,5.677,6.8,6.829
toes,3.257,4.857,5.286,6.8,6.886
toga,4.182,5.515,5.788,5.879,5.97
toilet,3.6,4.486,4.5,6.829,6.657
toll,3.029,3.788,4.226,3.879,3.543
tomahawk,6,3.95,5.652,5.8,5.2
tomato,3.206,5.629,5.314,6.824,6.588
tomb,5.133,3.065,3.516,6.419,5.967
tone,4.743,5.343,5.743,3.8,2.455
tone (colour),4.364,5.667,5,3.788,4.303
tone (music),5.412,6.394,5.424,4.03,3.156
tone (voice),5.471,5.629,5.844,3.314,3.606
tongue,5.515,5.576,5.531,6.625,6.742
tool,3.629,5.059,6.206,6.257,6.177
tooth,4.226,5.406,5.258,6.643,6.567
toothache,5.03,2.235,3.242,4.719,3.849
toothbrush,2.765,5.559,6.265,6.765,6.824
top,4.457,5.971,5.943,4.514,4.943
top (apex),4.516,6.531,6.406,4.833,4.742
top (shirt),4.324,5.629,6.03,6.471,6.636
top (spinning),3.97,5.424,5.412,5.514,5.242
torch,4.559,5.829,5.727,6.057,6.118
torch (burn),5.438,4.152,5.226,5.121,5.688
torch (flashlight),4.294,5.912,5.824,6.824,6.714
torment,6.194,1.939,3.161,2.936,3.031
tornado,5.909,2,3.594,6.121,6.188
tortoise,4.194,5.781,5.241,6.786,6.75
torture,4.677,1.515,2.912,4.714,4.697
torturer,5.438,1.438,4.355,5.344,4.909
toss,4.257,4.286,5.206,4.571,4.571
tosser,5.333,2.265,5.061,3.469,4.324
toucan,4.267,5.807,5.071,6.429,6.133
touch,6.235,6.471,5.824,4.853,5
touchy,4.914,4.212,4.486,2.743,3.314
tough,4.636,4.636,5.97,3.559,3.546
tour,4.771,5.794,5.147,5.333,5
tourist,4.971,5.314,4.765,5.486,5.714
toward,4.441,5.824,6.343,3.514,3.143
towel,3.419,5.8,5.69,6.724,6.724
tower,4.382,5.2,5.057,6.543,6.371
town,4.788,5.576,4.75,5.813,5.933
toxic,5.8,1.859,3.539,3.984,3.844
toxin,5.353,2.471,4.147,5.03,3.941
toy,5.606,6.471,5.677,6.353,6.257
toys,5.441,6.606,6.156,6.031,6.303
trace,3.656,5,4.469,3.765,4
trace (copy),3.059,4.853,5.235,4.861,4.677
trace (small amount),3.636,4.688,4.594,4,3.813
track,4.1,5.367,4.833,5.233,5.438
traction,3.531,5.2,5.241,4.063,3.323
traction (grip),4.294,5.371,5.938,4.382,4.152
traction (medical),3.24,4.708,4.462,5.046,4.13
tractor,3.382,5.324,5.371,6.588,6.706
trade,3.849,5.677,4.882,4.029,3.879
traffic,4,3,3.219,5.793,6.103
tragedy,6.688,1.576,2.871,2.818,3.303
tragic,6.152,1.727,3.121,2.188,2.485
trailer,3.633,5.031,4.933,5.879,5.8
train,3.846,5.791,5.075,6.687,6.698
train (bridal),4.455,6.152,5.063,5.97,6.091
train (practice),5.235,6.647,6.125,4.314,4.758
train (procession),3.735,5.219,4.971,4.5,5.118
train (vehicle),3.743,5.286,5.091,6.588,6.629
trainer,4.433,5.548,4.581,6.161,5.849
trainer (coach),4.727,5.735,4.257,6.091,6
trainer (shoe),3.727,5.879,5.588,6.394,6.455
traitor,5,1.912,3.941,4.147,3.576
tram,3.576,5,4.581,6.742,6.367
trample,4.75,2.875,4.645,4.733,5.094
trampled,4.971,2.333,2.743,4.971,5.382
trance,5.061,5.088,3.5,3.091,3.441
tranquil,3.313,7.697,5.97,2.515,4.029
transit,3.125,4.909,4.618,4.182,3.382
transition,4.206,5.5,4.829,3.057,2.629
transportation,4.188,5.471,5.188,5.394,5.735
trap,4.882,2.971,3.314,5.531,5.636
trapped,5.273,2.229,2.559,3.857,4.794
trash,3.353,2.943,4.743,5.971,6.455
trauma,5.781,1.75,2.613,2.903,3.531
traumatic,5.143,1.743,3.143,2.912,3.429
travel,7.29,6.936,6.281,4.29,4.103
traveller,5.636,6.313,6.242,4.939,5.303
tray,2.914,4.909,5.029,6.514,6.171
tread,3.875,4.531,5,4.057,3.849
treason,4.849,1.818,4.788,3.161,2.969
treasure,6.909,7.824,6.353,5.206,6.143
treasurer,4.029,6,6.086,5.583,4.618
treat,6.879,7.879,5.563,4.094,4.903
treaty,4.182,6.182,4.576,4.147,3.441
treble,4.943,5.206,5.03,3.559,3.788
treble (music),5.324,5.879,5.697,4.455,4.375
treble (triple),4.152,5.406,5.546,3.943,3.571
tree,4.484,6.839,5.226,6.862,6.69
trellis,3.136,4.8,5.087,5.417,5.087
tremble,5.588,3.571,2.765,4.8,5.057
trench,4.152,3.529,4.546,5.618,5.559
trend,5.091,5.548,3.909,2.853,3.212
trial,5.727,4,3.636,4.094,3.849
trial (courtroom),5.029,3.794,3.212,5.829,6.353
trial (test),3.912,4.121,3.765,4.429,3.706
triangle,3.543,5.029,5.353,5.353,6.5
triangular,3.25,4.969,4.839,5,6.344
tribal,5.147,5.677,5.914,4.235,4.943
tribe,5.226,5.844,5.152,4.733,5.516
tribute,4.875,6.618,5.375,3.727,3.25
trick,5.212,3.886,4.455,3.971,3.394
tricky,4.968,3.515,4.419,3,3.75
trim,3.353,5.294,4.677,4.412,4.656
